2022-09-08 15:26:07  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:09  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:11  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:13  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:15  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:17  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:20  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:22  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:24  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:26  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:29  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:25:59, started = 33.370000, vol = 416672
2022-09-08 15:26:31  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:26:33  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:26:35  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:26:37  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:26:39  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:26:41  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:26:44  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:26:46  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:26:48  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
2022-09-08 15:26:50  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:26:29, started = 33.370000, vol = 416672
